3602670,NY-220202040000,ALEXANDRIA CENTRAL SCHOOL DISTRICT,Jefferson County,34 BOLTON AVE,ALEXANDRIA BAY,NY,13607,1699,(315)482-9971,479,50,2,42,Rural: Distant,9.6,Regular School District
3602700,NY-020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,Allegany County,6795 RT 21,ALMOND,NY,14804,9716,(607)276-6500,584,54.99,2,41,Rural: Fringe,10.6,Regular School District
3600015,NY-040302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,Cattaraugus County,3131 FIVE MILE RD,ALLEGANY,NY,14706,9627,(716)375-6600,1092,97.75,2,41,Rural: Fringe,11.2,Regular School District
3602820,NY-460102040000,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,Oswego County,PO BOX 97,PARISH,NY,13131,97,(315)625-5251,1099,87,2,42,Rural: Distant,12.6,Regular School District
3602880,NY-580303020000,AMAGANSETT UNION FREE SCHOOL DISTRICT,Suffolk County,PO BOX 7062,AMAGANSETT,NY,11930,7062,(631)267-3572,134,16.01,1,31,Town: Fringe,8.4,Regular School District
3601051,NY-660900861000,AMANI PUBLIC CHARTER SCHOOL,Westchester County,60 S 3RD AVE,MOUNT VERNON,NY,10550,,(914)668-2553,354,33.5,1,21,Suburb: Large,10.6,Other Education Agency
3600039,NY-310400860806,AMBER CHARTER SCHOOL EAST HARLEM,New York County,220 E 106TH ST,NEW YORK,NY,10029,4020,(212)534-9667,489,30,1,11,City: Large,16.3,Other Education Agency
3601149,NY-321000861074,AMBER CHARTER SCHOOL KINGSBRIDGE,Bronx County,3120 CORLEAR AVE,BRONX,NY,10463,,(646)802-1140,471,28.5,1,11,City: Large,16.5,Other Education Agency
3601119,NY-320700861062,AMERICAN DREAM CHARTER SCHOOL,Bronx County,403 CONCORD AVE,BRONX,NY,10454,,(718)585-3071,588,0,1,11,City: Large,†,Other Education Agency
3602920,NY-140201060000,AMHERST CENTRAL SCHOOL DISTRICT,Erie County,55 KINGS HWY,AMHERST,NY,14226,4330,(716)362-3000,2989,254.14,4,21,Suburb: Large,11.8,Regular School District
3602940,NY-580106030000,AMITYVILLE UNION FREE SCHOOL DISTRICT,Suffolk County,150 PARK AVE,AMITYVILLE,NY,11701,3195,(631)565-6019,3058,240.42,5,21,Suburb: Large,12.7,Regular School District
3602970,NY-270100010000,AMSTERDAM CITY SCHOOL DISTRICT,Montgomery County,140 SARATOGA AVE,AMSTERDAM,NY,12010,670,(518)843-3180,3702,234.71,6,31,Town: Fringe,15.8,Regular School District
3603000,NY-120102040000,ANDES CENTRAL SCHOOL DISTRICT,Delaware County,PO BOX 248,ANDES,NY,13731,248,(845)676-3167,61,†,1,42,Rural: Distant,†,Regular School District
3603030,NY-020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,Allegany County,PO BOX G,ANDOVER,NY,14806,508,(607)478-8491,272,23,1,42,Rural: Distant,11.8,Regular School District
3603180,NY-660405030000,ARDSLEY UNION FREE SCHOOL DISTRICT,Westchester County,500 FARM RD,ARDSLEY,NY,10502,1410,(914)295-5510,2302,200.6,3,21,Suburb: Large,11.5,Regular School District
3603210,NY-640101040000,ARGYLE CENTRAL SCHOOL DISTRICT,Washington County,5023 STATE RT 40,ARGYLE,NY,12809,67,(518)638-8243,462,51.49,2,41,Rural: Fringe,9,Regular School District
3603240,NY-571901040000,ARKPORT CENTRAL SCHOOL DISTRICT,Steuben County,PO BOX 70,ARKPORT,NY,14807,70,(607)295-7471,470,39.58,1,33,Town: Remote,11.9,Regular School District
3603270,NY-131601060000,ARLINGTON CENTRAL SCHOOL DISTRICT,Dutchess County,144 TODD HILL RD,LAGRANGEVILLE,NY,12540,5916,(845)486-4460,7875,666.35,11,41,Rural: Fringe,11.8,Regular School District
